review_id,member_id,book_id,Percentage_Comp,review_rating
3,002326C3-A6BA-498D-B4F8-8D1FAACFB4EB,130600465,12,4
4,002326C3-A6BA-498D-B4F8-8D1FAACFB4EB,141008163,53,4
6,0033E5E1-A950-4253-B154-2A058A49B638,170201216,3,5
7,005683BD-5677-4A5D-9D9F-EC0F75DFBC9A,170201831,1,5
8,00676026-9C48-4198-B3F1-303EC7622565,160901022,47,5
9,00676026-9C48-4198-B3F1-303EC7622565,161205146,2,5
11,00806AD8-3ABA-4486-88F3-14309C11884D,140114286,98,4
12,00921522-6235-4BCD-8C19-6DD6D6A8152D,140306385,98,5
13,00921522-6235-4BCD-8C19-6DD6D6A8152D,140306386,90,5
14,00921522-6235-4BCD-8C19-6DD6D6A8152D,140503729,90,5
17,00B385AD-7347-4AD3-8D48-B72C88AE72C3,160403043,97,5
18,00C787F1-D966-45A3-9958-C7C55B270359,140600122,1,4
19,00C787F1-D966-45A3-9958-C7C55B270359,170108973,1,5
20,00C787F1-D966-45A3-9958-C7C55B270359,170201216,1,5
21,00C787F1-D966-45A3-9958-C7C55B270359,170201708,52,5
22,00ECB55C-41D9-465B-A382-DB1BCD22870D,141004955,72,5
23,00ECB55C-41D9-465B-A382-DB1BCD22870D,170201216,99,5
25,01161C06-8DD1-4F9E-AE6B-8769411FCF66,130501947,0,4
27,0152C771-A931-49D3-AD29-74588CCF4B67,140801322,96,3
28,0152C771-A931-49D3-AD29-74588CCF4B67,170201543,94,5
29,0152C771-A931-49D3-AD29-74588CCF4B67,170201544,94,5
30,0152C771-A931-49D3-AD29-74588CCF4B67,170201853,99,3
31,018788DB-0171-4BF3-8C01-348FBF777660,141102284,69,1
32,018788DB-0171-4BF3-8C01-348FBF777660,141102285,60,1
34,019EF812-5FE9-4C1E-9EE1-1F672B4BCC6C,160303792,0,5
35,01A0B650-5973-4B25-B59D-6DCC9AE982F9,141000649,25,5
36,01E3CD54-ECD8-44F2-8515-2A61B2DF61A1,161205030,73,5
37,01FB7B39-A44A-4CFA-BAC1-282825A07CB9,150802637,63,3
38,01FB7B39-A44A-4CFA-BAC1-282825A07CB9,170201831,1,5
40,0247B729-8D94-42C1-BB2E-5B3DBC248C4C,160305275,0,5
41,0247B729-8D94-42C1-BB2E-5B3DBC248C4C,160813334,53,1
46,028773F7-4CB3-42CB-93B5-B7CA4C2D9C8C,131100762,99,5
48,02C57E7C-02B3-4DF0-9B49-FD178F4A348D,140114150,80,4
49,02C57E7C-02B3-4DF0-9B49-FD178F4A348D,140114151,99,4
56,02E46CB2-C802-45F6-8625-4E1703DD13E9,170201127,55,5
57,02EBAFE4-33BD-4312-9586-E71B43BDC4B4,160815067,5,5
63,037F7C1A-AFAD-4D2B-A098-4DCE8036FEBB,150102782,99,4
67,03E83E7A-93B9-479F-A167-3DA9FC344FB6,160213640,2,5
68,042E858F-C808-4D55-83DB-3BB58E7BC72D,120900123,41,4
69,042E858F-C808-4D55-83DB-3BB58E7BC72D,160306353,1,5
71,04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400240,13,5
72,044FFB57-CEEB-4333-85C0-8C94DBB09D29,160602663,73,3
73,04505F94-D7BE-4A6A-B913-F26F288F5B4C,160703142,9,5
74,04505F94-D7BE-4A6A-B913-F26F288F5B4C,160903356,63,5
75,04558701-3637-4F22-BA89-4088AA306DEF,170201690,81,5
80,049B5681-3B79-4BA9-B78E-C8786553BD50,160303792,0,5
82,053EB18E-B255-4BF0-A119-45F64540F60F,170201534,1,3
83,053EB18E-B255-4BF0-A119-45F64540F60F,170201690,7,5
84,05654119-1C07-463C-B8AF-00B6D0323D8B,110400240,19,4
87,058F6F42-6A18-425E-B0AE-A4542EC4D097,170201203,93,5
88,05A851CF-2019-472E-B5BA-26BC30185213,160601782,42,4
89,05A851CF-2019-472E-B5BA-26BC30185213,160815058,92,3
90,05A851CF-2019-472E-B5BA-26BC30185213,170200631,60,5
91,05A851CF-2019-472E-B5BA-26BC30185213,170202077,81,5
94,05BBDA01-D422-4ECA-8999-0959FA335966,170201831,97,4
97,05F4B3A8-2C8F-491F-8AE6-077840752583,160604067,32,5
100,0643F35D-E3D6-4E47-80AD-E003C7B90286,160305086,99,4
101,0643F35D-E3D6-4E47-80AD-E003C7B90286,170105888,11,3
108,06765C5E-A440-4D46-B4D9-4AC638AAD478,160904049,2,5
109,06765C5E-A440-4D46-B4D9-4AC638AAD478,170201694,97,5
114,069DAE51-7A15-4B81-ADB3-933F6244A385,170201544,56,5
115,06A63E88-4AE5-41B0-9565-1E85219696A2,150503053,1,2
116,06B72478-3E47-48AD-AD33-03C636F3AD69,170108225,39,2
119,06D67BDF-510F-4157-836F-E3AAFA633EDE,160303792,0,5
120,06E24B21-AAF4-405F-80E1-0C307C01E19E,160703350,99,5
121,06FBE192-2CD7-4CF6-95E0-7393C333058A,170201694,0,4
123,0713D92C-9696-46AF-B0D8-2417789C064C,120300090,54,4
124,07716ECE-F60B-476A-A938-30181CE51E1D,120800178,94,4
125,07716ECE-F60B-476A-A938-30181CE51E1D,141101004,93,4
126,07716ECE-F60B-476A-A938-30181CE51E1D,150601763,88,5
127,07716ECE-F60B-476A-A938-30181CE51E1D,150901380,88,5
129,079E07AB-D6A5-4EAD-B003-9777808FB3C9,160812646,1,5
135,07B394E3-47F6-4FF8-A0A9-095C1BDFA836,161202753,22,5
136,07BDD518-66C7-487C-90A4-909327CE5AD3,151102323,99,5
137,07D3D8D1-40BE-4D5A-990B-7250957E4AAD,170200626,25,2
138,07DAFD85-FFAD-4D3F-94D7-D0C33C5A5DFB,161200548,91,4
139,0814A2BC-5B77-4B9B-8320-C52149C630B7,140400691,47,4
140,086CDDDE-433F-4C3F-A79D-02965718BDC7,160812646,1,5
141,086CDDDE-433F-4C3F-A79D-02965718BDC7,170201694,0,4
146,08798D10-22BE-426B-B901-0E731CE8D91C,120701501,69,5
147,08798D10-22BE-426B-B901-0E731CE8D91C,170201831,96,5
148,08949AB6-4E50-4E76-B8C6-1C740DE85236,170201831,10,5
150,08AA15E8-3AE9-4956-883D-97D93528DE02,170201831,0,5
152,095163E4-EF77-49F1-84CD-F872580D8F4C,140705770,99,5
153,095163E4-EF77-49F1-84CD-F872580D8F4C,140705772,69,4
155,097C4315-12D7-4EF7-9139-681AE6E3B20F,170201831,0,5
157,09A56141-7D86-41A5-AAB0-386DD0F4B5FD,130400525,85,4
160,09AC655F-767E-456A-90BB-99BCE12880C1,160603891,0,1
161,09AC655F-767E-456A-90BB-99BCE12880C1,170107147,0,5
162,09AC655F-767E-456A-90BB-99BCE12880C1,170201694,0,5
164,09D42CF8-D693-497F-96F9-CA53A0B3DA2C,170201696,86,5
165,09EDC197-5B76-437A-889C-2336146E0BE6,160303789,1,5
166,0A38ECD5-4115-4963-BCC5-7902892A328C,170201125,20,5
167,0A4C0E2D-DCFB-47D3-B133-79C4FAD43D59,160303792,1,5
168,0A4C0E2D-DCFB-47D3-B133-79C4FAD43D59,170108298,1,5
169,0A4C0E2D-DCFB-47D3-B133-79C4FAD43D59,170201831,0,5
170,0A8B6BAB-A47A-4CB8-8BCC-57B4751EDA13,170201694,9,5
178,0ABA6E99-3AC0-487B-A6C8-CCB2B526A827,140306385,41,5
182,0B058915-1CCA-4BD9-9F49-F6FF97B5304F,131100762,38,5
183,0B5A8AB5-1052-4A8C-B7B9-3954FCD4583F,160303792,4,4
189,0BD3C189-A6E6-4D77-B993-4B0AD977F8AA,170201127,0,5
190,0BD3C189-A6E6-4D77-B993-4B0AD977F8AA,170201694,5,5
192,0BE58347-0B21-4A72-BDDF-A5979D20F64A,140800408,4,4
201,0C6A5CC8-6EEC-4418-8478-F37492CBADC8,170201694,0,5
204,0CB62014-F38E-43C7-BF09-7473BBD98833,160303792,0,1
205,0CB62014-F38E-43C7-BF09-7473BBD98833,170201831,1,4
206,0CD3CFBA-37C7-49E5-AB73-B8288467C683,150604232,77,5
208,0D0661F8-DFD9-45F2-9004-6898F3DB173A,170201694,6,5
212,0D0F5F20-CE3B-4698-B829-EF61021CA67B,170108230,55,5
213,0D262C32-BFF9-4E28-B8BB-C094A3E1A09F,151209730,51,5
214,0D2CC2AD-A45F-4146-8F35-A132009E08AC,130701327,1,4
215,0D2CC2AD-A45F-4146-8F35-A132009E08AC,160903860,1,5
218,0D9FDE8D-53F6-4606-9537-CAB68A91DC74,161108495,50,5
221,0DA26E9E-75FE-40D6-A516-CBA72453188B,110100050,98,4
233,0E0F7BF8-3599-4EED-8915-DE3FA72CDB21,151001780,76,4
238,0E0F7BF8-3599-4EED-8915-DE3FA72CDB21,161002777,17,5
